"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 30 15:15:48 GMT 2022","Fri Sep 30 15:15:48 GMT 2022","522","","Testes de login Extra","","","","[POST] Deve fazer login com sucesso utilizando e-mail",""
"passed","Fri Sep 30 15:15:49 GMT 2022","Fri Sep 30 15:15:49 GMT 2022","258","","Testes de login Extra","","","","[POST] Deve retornar erro ao fazer login utilizando e-mail com dados inválidos",""
"passed","Fri Sep 30 15:15:51 GMT 2022","Fri Sep 30 15:15:51 GMT 2022","279","","Testes de login Ponto","","","","[POST] Deve retornar erro ao fazer login utilizando e-mail com dados inválidos",""
"passed","Fri Sep 30 15:15:49 GMT 2022","Fri Sep 30 15:15:50 GMT 2022","319","","Testes de login Extra","","","","[POST] Deve retornar erro ao fazer login utilizando CPF/CNPJ com dados inválidos",""
"passed","Fri Sep 30 15:15:48 GMT 2022","Fri Sep 30 15:15:48 GMT 2022","274","","Testes de login Casas Bahia","","","","[POST] Deve retornar erro ao fazer login utilizando CPF/CNPJ  com dados inválidos",""
"passed","Fri Sep 30 15:15:47 GMT 2022","Fri Sep 30 15:15:47 GMT 2022","459","","Testes de login Casas Bahia","","","","[POST] Deve fazer login com sucesso utilizando CPF/CNPF",""
"passed","Fri Sep 30 15:15:46 GMT 2022","Fri Sep 30 15:15:47 GMT 2022","703","","Testes de login Casas Bahia","","","","[POST] Deve fazer login com sucesso utilizando e-mail",""
"passed","Fri Sep 30 15:15:50 GMT 2022","Fri Sep 30 15:15:50 GMT 2022","706","","Testes de login Ponto","","","","[POST] Deve fazer login com sucesso utilizando e-mail",""
"passed","Fri Sep 30 15:15:47 GMT 2022","Fri Sep 30 15:15:48 GMT 2022","318","","Testes de login Casas Bahia","","","","[POST] Deve retornar erro ao fazer login utilizando e-mail com dados inválidos",""
"passed","Fri Sep 30 15:15:51 GMT 2022","Fri Sep 30 15:15:51 GMT 2022","246","","Testes de login Ponto","","","","[POST] Deve retornar erro ao fazer login utilizando CPF/CNPJ com dados inválidos",""
"passed","Fri Sep 30 15:15:49 GMT 2022","Fri Sep 30 15:15:49 GMT 2022","432","","Testes de login Extra","","","","[POST] Deve fazer login com sucesso utilizando CPF/CNPF",""
"passed","Fri Sep 30 15:15:50 GMT 2022","Fri Sep 30 15:15:51 GMT 2022","561","","Testes de login Ponto","","","","[POST] Deve fazer login com sucesso utilizando CPF/CNPF",""
