"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 13 19:22:50 GMT 2022","Tue Dec 13 19:22:51 GMT 2022","982","","Testes de login Ponto","","","","[POST] Deve retornar erro ao fazer login utilizando CPF/CNPJ com dados inválidos",""
"passed","Tue Dec 13 19:22:45 GMT 2022","Tue Dec 13 19:22:46 GMT 2022","1282","","Testes de login Extra","","","","[POST] Deve fazer login com sucesso utilizando e-mail",""
"passed","Tue Dec 13 19:22:47 GMT 2022","Tue Dec 13 19:22:48 GMT 2022","291","","Testes de login Extra","","","","[POST] Deve retornar erro ao fazer login utilizando CPF/CNPJ com dados inválidos",""
"passed","Tue Dec 13 19:22:46 GMT 2022","Tue Dec 13 19:22:47 GMT 2022","513","","Testes de login Extra","","","","[POST] Deve fazer login com sucesso utilizando CPF/CNPF",""
"passed","Tue Dec 13 19:22:43 GMT 2022","Tue Dec 13 19:22:44 GMT 2022","974","","Testes de login Casas Bahia","","","","[POST] Deve fazer login com sucesso utilizando e-mail",""
"passed","Tue Dec 13 19:22:45 GMT 2022","Tue Dec 13 19:22:45 GMT 2022","326","","Testes de login Casas Bahia","","","","[POST] Deve retornar erro ao fazer login utilizando CPF/CNPJ  com dados inválidos",""
"passed","Tue Dec 13 19:22:44 GMT 2022","Tue Dec 13 19:22:45 GMT 2022","360","","Testes de login Casas Bahia","","","","[POST] Deve retornar erro ao fazer login utilizando e-mail com dados inválidos",""
"passed","Tue Dec 13 19:22:47 GMT 2022","Tue Dec 13 19:22:47 GMT 2022","537","","Testes de login Extra","","","","[POST] Deve retornar erro ao fazer login utilizando e-mail com dados inválidos",""
"passed","Tue Dec 13 19:22:48 GMT 2022","Tue Dec 13 19:22:49 GMT 2022","1134","","Testes de login Ponto","","","","[POST] Deve fazer login com sucesso utilizando e-mail",""
"passed","Tue Dec 13 19:22:49 GMT 2022","Tue Dec 13 19:22:49 GMT 2022","393","","Testes de login Ponto","","","","[POST] Deve fazer login com sucesso utilizando CPF/CNPF",""
"passed","Tue Dec 13 19:22:44 GMT 2022","Tue Dec 13 19:22:44 GMT 2022","750","","Testes de login Casas Bahia","","","","[POST] Deve fazer login com sucesso utilizando CPF/CNPF",""
"passed","Tue Dec 13 19:22:49 GMT 2022","Tue Dec 13 19:22:50 GMT 2022","280","","Testes de login Ponto","","","","[POST] Deve retornar erro ao fazer login utilizando e-mail com dados inválidos",""
