"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 03 11:37:41 GMT 2022","Mon Oct 03 11:37:42 GMT 2022","584","","Testes de login Extra","","","","[POST] Deve fazer login com sucesso utilizando e-mail",""
"passed","Mon Oct 03 11:37:40 GMT 2022","Mon Oct 03 11:37:40 GMT 2022","552","","Testes de login Casas Bahia","","","","[POST] Deve fazer login com sucesso utilizando CPF/CNPF",""
"passed","Mon Oct 03 11:37:43 GMT 2022","Mon Oct 03 11:37:44 GMT 2022","371","","Testes de login Ponto","","","","[POST] Deve fazer login com sucesso utilizando CPF/CNPF",""
"passed","Mon Oct 03 11:37:42 GMT 2022","Mon Oct 03 11:37:42 GMT 2022","335","","Testes de login Extra","","","","[POST] Deve fazer login com sucesso utilizando CPF/CNPF",""
"passed","Mon Oct 03 11:37:42 GMT 2022","Mon Oct 03 11:37:43 GMT 2022","282","","Testes de login Extra","","","","[POST] Deve retornar erro ao fazer login utilizando CPF/CNPJ com dados inválidos",""
"passed","Mon Oct 03 11:37:42 GMT 2022","Mon Oct 03 11:37:42 GMT 2022","284","","Testes de login Extra","","","","[POST] Deve retornar erro ao fazer login utilizando e-mail com dados inválidos",""
"passed","Mon Oct 03 11:37:43 GMT 2022","Mon Oct 03 11:37:43 GMT 2022","715","","Testes de login Ponto","","","","[POST] Deve fazer login com sucesso utilizando e-mail",""
"passed","Mon Oct 03 11:37:40 GMT 2022","Mon Oct 03 11:37:41 GMT 2022","261","","Testes de login Casas Bahia","","","","[POST] Deve retornar erro ao fazer login utilizando e-mail com dados inválidos",""
"passed","Mon Oct 03 11:37:44 GMT 2022","Mon Oct 03 11:37:44 GMT 2022","269","","Testes de login Ponto","","","","[POST] Deve retornar erro ao fazer login utilizando CPF/CNPJ com dados inválidos",""
"passed","Mon Oct 03 11:37:39 GMT 2022","Mon Oct 03 11:37:40 GMT 2022","555","","Testes de login Casas Bahia","","","","[POST] Deve fazer login com sucesso utilizando e-mail",""
"passed","Mon Oct 03 11:37:44 GMT 2022","Mon Oct 03 11:37:44 GMT 2022","311","","Testes de login Ponto","","","","[POST] Deve retornar erro ao fazer login utilizando e-mail com dados inválidos",""
"passed","Mon Oct 03 11:37:41 GMT 2022","Mon Oct 03 11:37:41 GMT 2022","315","","Testes de login Casas Bahia","","","","[POST] Deve retornar erro ao fazer login utilizando CPF/CNPJ  com dados inválidos",""
